Dataset,Table,Status,Criteria,Mirroring_Type
edwim,ref_cactus_mss_manager,Not Found in Analysis,where 1=1,refresh_delins
edwim,ref_dr_first_medical_specialty,Not Found in Analysis,where 1=1,refresh_delins
edwim,ref_dr_first_member_type,Not Found in Analysis,where 1=1,refresh_delins
edwim,ref_im_contract_company,Not Found in Analysis,where 1=1,refresh_delins
edwim,ref_im_domain,Not Found in Analysis,where 1=1,refresh_delins
edwim,ref_im_job_code,Not Found in Analysis,where 1=1,refresh_delins
edwim,ref_im_job_position,Not Found in Analysis,where 1=1,refresh_delins
edwim,ref_im_provider_category,Not Found in Analysis,where 1=1,refresh_delins
edwim,ref_im_provider_specialty,Not Found in Analysis,where 1=1,refresh_delins
edwim,ref_lawson_employment_status,Not Found in Analysis,where 1=1,refresh_delins
edwim,ref_med_spcl_referral_abs_service,Not Found in Analysis,where 1=1,refresh_delins
edwim,ref_provider_address_type,Not Found in Analysis,where 1=1,refresh_delins
edwim,ref_provider_board_certification,Not Found in Analysis,where 1=1,refresh_delins
edwim,ref_provider_certification_status,Not Found in Analysis,where 1=1,refresh_delins
edwim,ref_provider_contract_status,Not Found in Analysis,where 1=1,refresh_delins
edwim,ref_provider_corporate_status,Not Found in Analysis,where 1=1,refresh_delins
edwim,ref_provider_country,Not Found in Analysis,where 1=1,refresh_delins
edwim,ref_provider_degree,Not Found in Analysis,where 1=1,refresh_delins
edwim,ref_provider_insurance_carrier,Not Found in Analysis,where 1=1,refresh_delins
edwim,ref_provider_insurance_coverage,Not Found in Analysis,where 1=1,refresh_delins
edwim,ref_provider_insurance_term,Not Found in Analysis,where 1=1,refresh_delins
edwim,ref_provider_language,Not Found in Analysis,where 1=1,refresh_delins
edwim,ref_provider_license_agency,Not Found in Analysis,where 1=1,refresh_delins
edwim,ref_provider_license_status,Not Found in Analysis,where 1=1,refresh_delins
edwim,ref_provider_license_type,Not Found in Analysis,where 1=1,refresh_delins
edwim,ref_provider_licensure_field,Not Found in Analysis,where 1=1,refresh_delins
edwim,ref_provider_staff_type,Not Found in Analysis,where 1=1,refresh_delins
edwim,ref_provider_status,Not Found in Analysis,where 1=1,refresh_delins
edwim,ref_provider_title,Not Found in Analysis,where 1=1,refresh_delins
edwim,secref_facility,Not Found in Analysis,where 1=1,refresh_delins
