file_name,SSC_Name
CCLOG65MCRIPB_31824.xlsx,American
CCLOG65MCRIPF_31824.xlsx,American
CCLOG65MCRIPB_27215.xlsx,American
CCLOG24MCRIPB_D_26516.xlsx,American
CCLOG65MCRIPB_PY_26915.xlsx,American
CCLOG65MCROP_28470.xlsx,American
CCLOG65MCRIPB_26330.xlsx,American
CCLOG24MCROP_D_27490.xlsx,American
CCLOG65MCROP_27215.xlsx,American
CCLOG24MCROP_PY_D_28470.xlsx,American
CCLOG65MCRIP_PY_07126.xlsx,American
CCLOG24MCRIP_PY_D_28470.xlsx,American
CCLOG65MCRIP_27490.xlsx,American
CCLOG24MCROP_D_54327.xlsx,American
CCLOG65MCRIP_PY_54327.xlsx,American
CCLOG65MCROP_PY_54327.xlsx,American
CCLOG24MCRIP_D_31824.xlsx,American
CCLOG24MCRIP_PY_D_27491.xlsx,American
CCLOG65MCRIPB_06676.xlsx,American
CCLOG65MCRIP_PY_26930.xlsx,American
CCLOG65MCROP_25121.xlsx,American
CCLOG65MCRIPB_26930.xlsx,American
CCLOG24MCRIPF_PY_D_28470.xlsx,American
CCLOG24MCRIPB_PY_D_31824.xlsx,American
CCLOG24MCRIPB_PY_D_27491.xlsx,American
CCLOG24MCROP_PY_D_31810.xlsx,American
CCLOG65MCRIPBCAH_PY_26935.xlsx,American
CCLOG65MCRIPB_PY_27491.xlsx,American
CCLOG65MCRIP_PY_31824.xlsx,American
CCLOG24MCRIPB_D_31824.xlsx,American
CCLOG65MCRIP_PY_27495.xlsx,American
CCLOG24MCRIP_D_27175.xlsx,American
CCLOG24MCRIRF_D_26985.xlsx,American
CCLOG24MCRIPSWB_PY_D_26935.xlsx,American
CCLOG24MCRIP_PY_D_31824.xlsx,American
CCLOG24MCROP_D_28470.xlsx,American
CCLOG24MCRIPBCAH_D_26935.xlsx,American
CCLOG24MCRIPCAH_D_26935.xlsx,American
CCLOG24MCROP_PY_D_27491.xlsx,American
CCLOG65MCRIP_PY_28470.xlsx,American
CCLOG24MCRIP_PY_D_07126.xlsx,American
CCLOG65MCRIP_PY_27491.xlsx,American
CCLOG65MCRIPF_28470.xlsx,American
CCLOG24MCRIP_D_26915.xlsx,American
CCLOG24MCRIPB_PY_D_26915.xlsx,American
CCLOG65MCROP_PY_27215.xlsx,American
CCLOG65MCROP_26930.xlsx,American
CCLOG24MCRIRF_PY_D_26985.xlsx,American
CCLOG24MCRIPB_D_26750.xlsx,Atlantic
CCLOG24MCRIP_D_08158.xlsx,Atlantic
CCLOG65MCROP_PY_09721.xlsx,Atlantic
CCLOG65MCRIPB_09728.xlsx,Atlantic
CCLOG24MCRIPB_PY_D_27109.xlsx,Atlantic
CCLOG24MCRIPF_PY_D_30928.xlsx,Atlantic
CCLOG65MCRIPB_30930.xlsx,Atlantic
CCLOG65MCRIPF_34011.xlsx,Atlantic
CCLOG24MCRIP_D_26111.xlsx,Atlantic
CCLOG24MCRIP_PY_D_27995.xlsx,Atlantic
CCLOG65MCRIPF_34001.xlsx,Atlantic
CCLOG24MCROP_D_09721.xlsx,Atlantic
CCLOG65MCRIP_26535.xlsx,Atlantic
CCLOG65MCRIPB_30927.xlsx,Atlantic
CCLOG65MCRIPF_PY_30928.xlsx,Atlantic
CCLOG24MCROP_PY_D_26111.xlsx,Atlantic
CCLOG65MCROP_27109.xlsx,Atlantic
CCLOG65MCRIP_27109.xlsx,Atlantic
CCLOG65MCRIPB_PY_27109.xlsx,Atlantic
CCLOG65MCRIP_37939.xlsx,Atlantic
CCLOG24MCRIPB_D_08158.xlsx,Atlantic
CCLOG65MCRIPB_35952.xlsx,Atlantic
CCLOG65MCRIP_PY_37939.xlsx,Atlantic
CCLOG65MCRIPB_09721.xlsx,Atlantic
CCLOG65MCROP_30927.xlsx,Atlantic
CCLOG65MCRIPB_08158.xlsx,Atlantic
CCLOG65MCRIPB_36957.xlsx,Atlantic
CCLOG24MCRIPB_D_26895.xlsx,Atlantic
CCLOG65MCRIPB_37939.xlsx,Atlantic
CCLOG65MCRIPB_26535.xlsx,Atlantic
CCLOG65MCRIPB_30901.xlsx,Atlantic
CCLOG24MCRIP_PY_D_26111.xlsx,Atlantic
CCLOG65MCROP_09721.xlsx,Atlantic
CCLOG65MCROP_26535.xlsx,Atlantic
CCLOG24MCRIPB_D_26535.xlsx,Atlantic
CCLOG24MCRIP_D_27107.xlsx,Atlantic
CCLOG65MCRIPB_PY_26111.xlsx,Atlantic
CCLOG24MCROP_PY_D_26535.xlsx,Atlantic
CCLOG24MCRIP_PY_D_26535.xlsx,Atlantic
CCLOG65MCRIPF_30902.xlsx,Atlantic
CCLOG24MCRIPB_D_30908.xlsx,Atlantic
CCLOG65MCRIP_26111.xlsx,Atlantic
CCLOG65MCRIPB_PY_08158.xlsx,Atlantic
CCLOG24MCROP_PY_D_27109.xlsx,Atlantic
CCLOG65MCRIPB_26111.xlsx,Atlantic
CCLOG65MCRIPB_26895.xlsx,Atlantic
CCLOG65MCRIPB_30902.xlsx,Atlantic
CCLOG24MCRIP_PY_D_09721.xlsx,Atlantic
CCLOG65MCRIP_PY_08158.xlsx,Atlantic
CCLOG65MCRIPB_30908.xlsx,Atlantic
CCLOG65MCROP_08158.xlsx,Atlantic
CCLOG24MCRIPB_PY_D_08158.xlsx,Atlantic
CCLOG65MCRIP_PY_09721.xlsx,Atlantic
CCLOG65MCRIPB_27107.xlsx,Atlantic
CCLOG24MCRIP_D_26535.xlsx,Atlantic
CCLOG24MCROP_D_08158.xlsx,Atlantic
CCLOG65MCRIP_PY_26535.xlsx,Atlantic
CCLOG65MCRIP_30927.xlsx,Atlantic
CCLOG24MCRIPF_D_34001.xlsx,Atlantic
CCLOG24MCROP_D_26111.xlsx,Atlantic
CCLOG24MCRSNF_D_18045.xlsx,Atlantic
CCLOG65MCROP_37939.xlsx,Atlantic
CCLOG65MCRIPB_26750.xlsx,Atlantic
CCLOG24MCRIPB_PY_D_37939.xlsx,Atlantic
CCLOG24MCROP_PY_D_08158.xlsx,Atlantic
CCLOG65MCRIPB_27109.xlsx,Atlantic
CCLOG24MCRIP_D_27109.xlsx,Atlantic
CCLOG24MCROP_D_26535.xlsx,Atlantic
CCLOG65MCRIP_08158.xlsx,Atlantic
CCLOG65MCRIPF_35941.xlsx,Atlantic
CCLOG24MCRIPB_PY_D_26111.xlsx,Atlantic
CCLOG24MCRIPB_D_30927.xlsx,Atlantic
CCLOG65MCRIPB_PY_27107.xlsx,Atlantic
CCLOG65MCRIP_PY_27107.xlsx,Atlantic
CCLOG24MCRIPB_PY_D_27107.xlsx,Atlantic
CCLOG65MCRIPB_PY_37939.xlsx,Atlantic
CCLOG65MCRIPB_09727.xlsx,Atlantic
CCLOG65MCRIP_PY_26111.xlsx,Atlantic
CCLOG24MCROP_D_30927.xlsx,Atlantic
CCLOG24MCRIP_PY_D_27109.xlsx,Atlantic
CCLOG24MCROP_PY_D_09721.xlsx,Atlantic
CCLOG24MCRIPB_D_37939.xlsx,Atlantic
CCLOG65MCRIP_PY_27109.xlsx,Atlantic
CCLOG24MCRIPB_D_26111.xlsx,Atlantic
CCLOG24MCROP_D_37939.xlsx,Atlantic
CCLOG24MCRIPF_D_35941.xlsx,Atlantic
CCLOG24MCRIP_D_30927.xlsx,Atlantic
CCLOG24MCRIPB_PY_D_26535.xlsx,Atlantic
CCLOG24MCRIPB_D_30930.xlsx,Atlantic
CCLOG24MCRIPB_D_09721.xlsx,Atlantic
CCLOG65MCRIPB_36930.xlsx,Atlantic
CCLOG24MCRIP_PY_D_37939.xlsx,Atlantic
CCLOG65MCRIP_27107.xlsx,Atlantic
CCLOG24MCROP_PY_D_37939.xlsx,Atlantic
CCLOG24MCRIPB_PY_D_09721.xlsx,Atlantic
CCLOG24MCRIP_PY_D_08158.xlsx,Atlantic
CCLOG65MCRIPB_30995.xlsx,Atlantic
CCLOG24MCRIPF_D_30928.xlsx,Atlantic
CCLOG65MCRIPB_37938.xlsx,Atlantic
CCLOG65MCRIP_PY_27995.xlsx,Atlantic
CCLOG65MCRIP_27995.xlsx,Atlantic
CCLOG24MCRIPB_D_27109.xlsx,Atlantic
CCLOG24MCRSNF_PY_D_18045.xlsx,Atlantic
CCLOG24MCRIPB_D_27107.xlsx,Atlantic
CCLOG65MCRIPB_PY_26535.xlsx,Atlantic
CCLOG24MCRIP_D_09721.xlsx,Atlantic
CCLOG24MCRIRF_D_30927.xlsx,Atlantic
CCLOG65MCROP_PY_26535.xlsx,Atlantic
CCLOG65MCRIPB_35953.xlsx,Atlantic
CCLOG65MCRIPF_30928.xlsx,Atlantic
CCLOG24MCRIP_D_37939.xlsx,Atlantic
CCLOG65MCRIPB_PY_09721.xlsx,Atlantic
CCLOG24MCRIP_PY_D_27107.xlsx,Atlantic
CCLOG65MCRIP_09721.xlsx,Atlantic
CCLOG65MCROP_PY_27109.xlsx,Atlantic
CCLOG65MCROP_PY_37939.xlsx,Atlantic
CCLOG65MCROP_PY_26111.xlsx,Atlantic
CCLOG24MCROP_D_27109.xlsx,Atlantic
CCLOG65MCROP_26111.xlsx,Atlantic
CCLOG65MCROP_PY_08158.xlsx,Atlantic
CCLOG24MCROP_D_08625.xlsx,National
CCLOG65MCRIP_27722.xlsx,National
CCLOG65MCRIPB_27620.xlsx,National
CCLOG24MCRIP_D_27657.xlsx,National
CCLOG24MCRIPBCAH_D_36244.xlsx,National
CCLOG65MCRIPSWB_27625.xlsx,National
CCLOG24MCRIPB_D_27625.xlsx,National
CCLOG65MCRIPB_PY_27115.xlsx,National
CCLOG65MCRIP_PY_27015.xlsx,National
CCLOG24MCRIP_PY_D_27615.xlsx,National
CCLOG24MCRIP_PY_D_27670.xlsx,National
CCLOG65MCRIPB_27615.xlsx,National
CCLOG24MCROPCAH_D_31767.xlsx,National
CCLOG24MCRIP_D_08409.xlsx,National
CCLOG65MCROP_08967.xlsx,National
CCLOG24MCROP_D_27650.xlsx,National
CCLOG65MCRIP_PY_08625.xlsx,National
CCLOG65MCROP_PY_31052.xlsx,National
CCLOG65MCRIPB_PY_27615.xlsx,National
CCLOG24MCRIPB_D_26620.xlsx,National
CCLOG65MCROP_PY_08621.xlsx,National
CCLOG65MCRIPSWB_27635.xlsx,National
CCLOG65MCRIPB_08625.xlsx,National
CCLOG65MCRIP_PY_31052.xlsx,National
CCLOG65MCRIPB_31052.xlsx,National
CCLOG24MCRIPB_PY_D_27657.xlsx,National
CCLOG65MCRIPF_PY_30572.xlsx,National
CCLOG65MCRIP_27650.xlsx,National
CCLOG24MCRIPSWB_PY_D_36244.xlsx,National
CCLOG65MCROP_PY_27645.xlsx,National
CCLOG65MCRIPB_27722.xlsx,National
CCLOG24MCRIPCAH_D_36244.xlsx,National
CCLOG65MCRIPB_PY_27670.xlsx,National
CCLOG65MCRIP_27115.xlsx,National
CCLOG65MCRIPB_27635.xlsx,National
CCLOG24MCROP_D_30504.xlsx,National
CCLOG24MCRIPB_D_27640.xlsx,National
CCLOG24MCRIPB_PY_D_27115.xlsx,National
CCLOG24MCRIP_D_36244.xlsx,National
CCLOG65MCRIPB_36244.xlsx,National
CCLOG65MCROP_PY_08625.xlsx,National
CCLOG24MCRIPB_PY_D_34410.xlsx,National
CCLOG24MCRIPSWB_D_36244.xlsx,National
CCLOG65MCROP_27615.xlsx,National
CCLOG24MCRIPB_D_27657.xlsx,National
CCLOG24MCRIPCAH_D_31767.xlsx,National
CCLOG24MCRIPB_D_08409.xlsx,National
CCLOG65MCRIPB_27625.xlsx,National
CCLOG65MCRIPBCAH_27640.xlsx,National
CCLOG24MCRIPCAH_PY_D_31767.xlsx,National
CCLOG24MCRIPB_D_31052.xlsx,National
CCLOG65MCRIPB_PY_27630.xlsx,National
CCLOG65MCRIP_PY_26990.xlsx,National
CCLOG65MCRIP_30504.xlsx,National
CCLOG65MCRIP_PY_26620.xlsx,National
CCLOG24MCRIP_D_27651.xlsx,National
CCLOG24MCROP_PY_D_31052.xlsx,National
CCLOG24MCRIP_PY_D_27635.xlsx,National
CCLOG65MCROPCAH_31767.xlsx,National
CCLOG24MCRIP_PY_D_27640.xlsx,National
CCLOG65MCRIPB_34409.xlsx,National
CCLOG24MCROPCAH_D_36244.xlsx,National
CCLOG24MCRIPBCAH_D_31767.xlsx,National
CCLOG24MCRIPF_D_25070.xlsx,National
CCLOG65MCRIP_08409.xlsx,National
CCLOG24MCRIP_D_27615.xlsx,National
CCLOG24MCRIP_D_27635.xlsx,National
CCLOG24MCROP_PY_D_27615.xlsx,National
CCLOG65MCRIP_25070.xlsx,National
CCLOG65MCRIPCAH_31767.xlsx,National
CCLOG65MCRIPB_27015.xlsx,National
CCLOG24MCRIP_PY_D_36244.xlsx,National
CCLOG24MCRIPB_D_27015.xlsx,National
CCLOG24MCRIPB_D_27650.xlsx,National
CCLOG24MCRIPB_PY_D_36244.xlsx,National
CCLOG65MCROP_30504.xlsx,National
CCLOG65MCRIP_27615.xlsx,National
CCLOG65MCRIPF_32905.xlsx,National
CCLOG24MCROP_D_27645.xlsx,National
CCLOG65MCRIP_27645.xlsx,National
CCLOG65MCRIPCAH_36244.xlsx,National
CCLOG65MCRIPB_34410.xlsx,National
CCLOG65MCRIP_PY_27115.xlsx,National
CCLOG24MCRIP_D_27630.xlsx,National
CCLOG65MCRIP_27670.xlsx,National
CCLOG65MCRIP_27625.xlsx,National
CCLOG65MCROP_27645.xlsx,National
CCLOG24MCRIPB_PY_D_31052.xlsx,National
CCLOG24MCROP_D_27015.xlsx,National
CCLOG65MCRIP_36244.xlsx,National
CCLOG65MCRIPB_27651.xlsx,National
CCLOG24MCRIPB_PY_D_27651.xlsx,National
CCLOG24MCROP_PY_D_08621.xlsx,National
CCLOG24MCRIP_D_27645.xlsx,National
CCLOG65MCRIPB_PY_08621.xlsx,National
CCLOG65MCRIP_PY_27645.xlsx,National
CCLOG24MCRIPF_PY_D_30572.xlsx,National
CCLOG24MCRIP_D_30504.xlsx,National
CCLOG24MCRIPB_PY_D_27670.xlsx,National
CCLOG24MCRIPB_PY_D_27625.xlsx,National
CCLOG65MCRIP_26990.xlsx,National
CCLOG65MCRIPB_30572.xlsx,National
CCLOG24MCROP_D_08621.xlsx,National
CCLOG65MCRIP_26620.xlsx,National
CCLOG24MCROP_D_27615.xlsx,National
CCLOG65MCRIPB_PY_08409.xlsx,National
CCLOG65MCRIPB_08967.xlsx,National
CCLOG65MCROP_31052.xlsx,National
CCLOG24MCRIPB_D_27115.xlsx,National
CCLOG24MCRIPBCAH_PY_D_36244.xlsx,National
CCLOG24MCROP_D_25070.xlsx,National
CCLOG65MCRIPBCAH_PY_36244.xlsx,National
CCLOG65MCRIPF_25070.xlsx,National
CCLOG24MCRIPF_D_30572.xlsx,National
CCLOG24MCRIP_PY_D_08621.xlsx,National
CCLOG65MCRIPSWB_31767.xlsx,National
CCLOG24MCROP_D_31052.xlsx,National
CCLOG65MCRIPF_34627.xlsx,National
CCLOG65MCRIP_PY_27650.xlsx,National
CCLOG65MCRIPSWB_27630.xlsx,National
CCLOG24MCRIPB_D_27615.xlsx,National
CCLOG24MCROP_PY_D_08625.xlsx,National
CCLOG24MCRIPB_D_27651.xlsx,National
CCLOG24MCRIP_D_27650.xlsx,National
CCLOG65MCRIPB_PY_26700.xlsx,National
CCLOG65MCRIPSWB_PY_31767.xlsx,National
CCLOG65MCRIPB_PY_27625.xlsx,National
CCLOG24MCRIPB_D_27635.xlsx,National
