file_name,SSC_Name
CCLOG65MCRIRF_27165.xlsx,American
CCLOG65MCRSNF_38340.xlsx,American
CCLOG65MCRIRF_PY_26985.xlsx,American
CCLOG65MCRIRF_PY_26790.xlsx,American
CCLOG65MCRIRF_27175.xlsx,American
CCLOG65MCRIRF_PY_27175.xlsx,American
CCLOG65MCRIRF_26985.xlsx,American
CCLOG65MCRSNF_PY_18045.xlsx,Atlantic
CCLOG65MCRSNF_18045.xlsx,Atlantic
CCLOG65MCRIRF_30927.xlsx,Atlantic
CCLOG65MCRIRF_30930.xlsx,Atlantic
CCLOG65MCRIRF_30572.xlsx,National
